clip_name,video_name,swing_index,score,pkl_path,first_higher_wrists_backswing_frame,swing_day,start_idx,end_idx,top_backswing_idx
IMG_1023_swing_0_score_1,IMG_1023,0,1,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,1540,aug9,1530,1560,1550
IMG_1023_swing_1_score_1,IMG_1023,1,1,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,2714,aug9,2704,2734,2726
IMG_1023_swing_2_score_2,IMG_1023,2,2,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,4058,aug9,4048,4078,4067
IMG_1023_swing_3_score_1,IMG_1023,3,1,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,5524,aug9,5514,5544,5533
IMG_1023_swing_4_score_5,IMG_1023,4,5,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,6952,aug9,6942,6972,6962
IMG_1023_swing_5_score_5,IMG_1023,5,5,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,8519,aug9,8509,8539,8530
IMG_1023_swing_6_score_5,IMG_1023,6,5,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,9922,aug9,9912,9942,9930
IMG_1023_swing_7_score_1,IMG_1023,7,1,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,11628,aug9,11618,11648,11639
IMG_1023_swing_8_score_3,IMG_1023,8,3,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,13077,aug9,13067,13097,13087
IMG_1023_swing_9_score_3,IMG_1023,9,3,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,14444,aug9,14434,14464,14455
IMG_1023_swing_10_score_3,IMG_1023,10,3,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,15963,aug9,15953,15983,15972
IMG_1023_swing_11_score_2,IMG_1023,11,2,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,17379,aug9,17369,17399,17390
IMG_1023_swing_12_score_1,IMG_1023,12,1,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,18888,aug9,18878,18908,18901
IMG_1023_swing_13_score_3,IMG_1023,13,3,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,20184,aug9,20174,20204,20193
IMG_1023_swing_14_score_3,IMG_1023,14,3,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,21905,aug9,21895,21925,21915
IMG_1023_swing_15_score_5,IMG_1023,15,5,../../../data/full_videos/ymirza/aug9/IMG_1023/keypoints/IMG_1023.pkl,23641,aug9,23631,23661,23651
IMG_1019_swing_0_score_3,IMG_1019,0,3,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,1346,aug9,1336,1366,1356
IMG_1019_swing_1_score_4,IMG_1019,1,4,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,2816,aug9,2806,2836,2826
IMG_1019_swing_2_score_4,IMG_1019,2,4,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,4025,aug9,4015,4045,4034
IMG_1019_swing_3_score_2,IMG_1019,3,2,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,5836,aug9,5826,5856,5846
IMG_1019_swing_4_score_5,IMG_1019,4,5,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,7332,aug9,7322,7352,7346
IMG_1019_swing_5_score_5,IMG_1019,5,5,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,9083,aug9,9073,9103,9095
IMG_1019_swing_6_score_5,IMG_1019,6,5,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,10866,aug9,10856,10886,10877
IMG_1019_swing_7_score_1,IMG_1019,7,1,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,12448,aug9,12438,12468,12461
IMG_1019_swing_8_score_1,IMG_1019,8,1,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,14165,aug9,14155,14185,14176
IMG_1019_swing_9_score_4,IMG_1019,9,4,../../../data/full_videos/ymirza/aug9/IMG_1019/keypoints/IMG_1019.pkl,15698,aug9,15688,15718,15708
IMG_1016_swing_0_score_4,IMG_1016,0,4,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,1810,aug9,1800,1830,1824
IMG_1016_swing_1_score_5,IMG_1016,1,5,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,3927,aug9,3917,3947,3941
IMG_1016_swing_2_score_5,IMG_1016,2,5,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,6287,aug9,6277,6307,6300
IMG_1016_swing_3_score_4,IMG_1016,3,4,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,8153,aug9,8143,8173,8166
IMG_1016_swing_4_score_2,IMG_1016,4,2,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,9976,aug9,9966,9996,9990
IMG_1016_swing_5_score_2,IMG_1016,5,2,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,11511,aug9,11501,11531,11525
IMG_1016_swing_6_score_5,IMG_1016,6,5,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,13212,aug9,13202,13232,13223
IMG_1016_swing_7_score_4,IMG_1016,7,4,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,15083,aug9,15073,15103,15095
IMG_1016_swing_8_score_3,IMG_1016,8,3,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,16667,aug9,16657,16687,16680
IMG_1016_swing_9_score_3,IMG_1016,9,3,../../../data/full_videos/ymirza/aug9/IMG_1016/keypoints/IMG_1016.pkl,18459,aug9,18449,18479,18469
IMG_1017_swing_0_score_1,IMG_1017,0,1,../../../data/full_videos/ymirza/aug9/IMG_1017/keypoints/IMG_1017.pkl,2308,aug9,2298,2328,2320
IMG_1017_swing_1_score_2,IMG_1017,1,2,../../../data/full_videos/ymirza/aug9/IMG_1017/keypoints/IMG_1017.pkl,3958,aug9,3948,3978,3965
